Release Date,Report Month,Time,Actual%,Forecast%,Previous%
20/12/2024,Oct,13:00,,9.25,9.75
31/10/2024,Sep,13:00,9.75,9.5,10.25
30/09/2024,Jul,13:00,10.25,,10.75
31/07/2024,Jun,13:00,10.75,10.75,11.25
28/06/2024,Apr,13:00,11.25,11.25,11.75
30/04/2024,Mar,13:00,11.75,11.75,12.25
22/03/2024,Jan,13:00,12.25,,12.75
31/01/2024,Dec,13:00,12.75,,13.0
19/12/2023,Oct,13:00,13.0,13.25,13.25
31/10/2023,Sep,13:00,13.25,13.25,13.25
29/09/2023,Jul,13:00,13.25,,13.25
31/07/2023,Jun,13:00,13.25,13.25,13.25
30/06/2023,Apr,13:00,13.25,,13.25
28/04/2023,Mar,13:00,13.25,13.0,13.0
30/03/2023,Jan,13:00,13.0,13.0,12.75
27/01/2023,Dec,13:30,12.75,13.0,12.0
16/12/2022,Oct,15:00,12.0,11.0,11.0
28/10/2022,Sep,15:00,11.0,11.0,10.0
30/09/2022,Sep,14:00,10.0,10.25,9.0
29/09/2022,Jul,14:00,10.0,10.25,9.0
29/07/2022,Jun,15:00,9.0,9.0,7.5
30/06/2022,Apr,14:30,7.5,7.5,6.0
29/04/2022,Mar,15:00,6.0,6.0,4.0
31/03/2022,Jan,15:00,5.0,5.5,4.0
28/01/2022,Dec,15:00,4.0,3.75,3.0
17/12/2021,Oct,15:00,3.0,3.0,2.5
29/10/2021,Sep,15:00,2.5,2.25,1.75
30/09/2021,Aug,15:00,2.0,2.0,1.75
30/08/2021,Jul,15:00,1.75,,1.75
30/07/2021,Jun,15:00,1.75,1.75,1.75
28/06/2021,May,13:00,1.75,1.75,1.75
28/05/2021,Apr,15:00,1.75,,1.75
30/04/2021,Mar,15:00,1.75,1.75,1.75
26/03/2021,Jan,13:00,1.75,1.75,1.75
29/01/2021,Dec,15:00,1.75,1.75,1.75
18/12/2020,Nov,15:00,1.75,1.75,1.75
27/11/2020,Oct,15:00,1.75,1.75,1.75
30/10/2020,Sep,13:00,1.75,1.75,1.75
25/09/2020,Aug,15:00,1.75,1.75,2.0
31/08/2020,Jul,15:00,2.0,2.0,2.25
31/07/2020,Jun,15:00,2.25,2.25,2.5
30/06/2020,May,15:00,2.5,2.5,2.75
29/05/2020,Apr,13:00,2.75,2.75,3.25
30/04/2020,Mar,15:00,3.25,,3.75
27/03/2020,Jan,15:00,3.75,4.25,4.25
31/01/2020,Dec,15:00,4.25,4.25,4.25
20/12/2019,Oct,13:00,4.25,4.25,4.25
31/10/2019,Sep,15:00,4.25,4.25,4.25
27/09/2019,Sep,15:00,,4.25,4.25
23/09/2019,Aug,15:00,4.25,4.25,
30/08/2019,Jul,15:00,4.25,4.25,4.25
26/07/2019,Jun,15:00,4.25,4.25,4.25
28/06/2019,Jun,15:00,4.25,4.25,4.25
21/06/2019,Apr,15:00,4.25,4.25,4.25
26/04/2019,Mar,15:00,4.25,4.25,4.25
22/03/2019,Jan,15:00,4.25,4.25,4.25
31/01/2019,Dec,15:00,4.25,4.25,4.25
21/12/2018,Oct,15:00,4.25,4.25,4.25
26/10/2018,Sep,15:00,4.25,4.25,4.25
28/09/2018,Jul,15:00,4.25,4.25,4.25
27/07/2018,Jun,15:00,4.25,4.25,4.25
29/06/2018,Apr,15:00,4.25,4.25,4.25
27/04/2018,Mar,15:00,4.25,4.25,4.5
20/03/2018,Feb,15:00,4.5,4.5,4.5
23/02/2018,Jan,15:00,4.5,4.5,4.5
29/01/2018,Dec,15:00,4.5,4.75,4.75
14/12/2017,Nov,15:00,4.75,4.75,4.75
24/11/2017,Oct,15:00,4.75,5.0,5.0
27/10/2017,Sep,15:00,5.0,5.25,5.25
29/09/2017,Aug,15:00,5.25,5.25,5.25
31/08/2017,Jul,15:00,5.25,5.25,5.5
27/07/2017,Jun,15:00,5.5,5.5,5.75
30/06/2017,May,15:00,5.75,6.0,6.25
26/05/2017,Apr,15:00,6.25,6.25,6.5
28/04/2017,Mar,15:00,6.5,6.75,7.0
24/03/2017,Feb,15:00,7.0,7.0,7.25
24/02/2017,Jan,15:00,7.25,7.5,7.5
27/01/2017,Dec,15:00,7.5,7.25,7.5
16/12/2016,Nov,17:00,7.5,7.75,7.75
25/11/2016,Oct,17:00,7.75,7.75,7.75
28/10/2016,Sep,17:00,7.75,7.75,7.75
30/09/2016,Aug,17:00,7.75,7.75,7.75
31/08/2016,Jul,17:00,7.75,7.75,7.75
29/07/2016,Jun,17:00,7.75,7.75,7.5
22/06/2016,May,17:00,7.5,7.5,7.25
27/05/2016,Apr,14:00,7.25,7.25,7.0
29/04/2016,Mar,14:00,7.0,6.75,6.5
18/03/2016,Feb,17:00,6.5,6.5,6.25
19/02/2016,Jan,15:20,6.25,6.25,6.0
29/01/2016,Dec,16:30,6.0,6.0,5.75
18/12/2015,Nov,16:30,5.75,5.75,5.5
27/11/2015,Oct,16:30,5.5,5.75,5.25
30/10/2015,Sep,16:30,5.25,5.0,4.75
25/09/2015,Aug,16:00,4.75,4.75,4.5
21/08/2015,Jul,13:30,4.5,4.5,4.5
31/07/2015,Jun,13:30,4.5,4.5,4.5
24/06/2015,May,13:00,4.5,4.5,4.5
22/05/2015,Apr,13:00,4.5,4.5,4.5
24/04/2015,Mar,13:00,4.5,4.5,4.5
20/03/2015,Feb,13:00,4.5,4.5,4.5
20/02/2015,Jan,13:00,4.5,4.5,4.5
30/01/2015,Dec,13:00,4.5,4.5,4.5
19/12/2014,Nov,13:00,4.5,4.5,4.5
28/11/2014,Oct,12:00,4.5,4.5,4.5
31/10/2014,Sep,12:00,4.5,4.5,4.5
26/09/2014,Sep,16:30,4.5,4.5,4.5
29/08/2014,Jul,11:00,4.5,4.5,4.25
31/07/2014,Jun,11:00,4.25,4.25,4.0
20/06/2014,May,16:30,4.0,4.0,3.75
30/05/2014,Apr,10:00,3.75,3.75,3.5
25/04/2014,Mar,16:30,3.5,3.25,3.25
21/03/2014,Feb,13:00,3.25,3.25,3.25
28/02/2014,Jan,13:00,3.25,3.25,3.25
31/01/2014,Dec,14:00,3.25,3.25,3.25
20/12/2013,Nov,14:00,3.25,3.25,3.25
29/11/2013,Oct,14:00,3.25,3.25,3.25
25/10/2013,Sep,14:00,3.25,3.25,3.25
27/09/2013,Aug,14:00,3.25,3.25,3.25
30/08/2013,Jul,14:00,3.25,3.25,3.25
26/07/2013,Jun,14:00,3.25,3.25,3.25
28/06/2013,May,14:00,3.25,3.25,3.25
31/05/2013,Apr,14:00,3.25,3.25,3.25
26/04/2013,Mar,14:00,3.25,3.0,3.25
22/03/2013,Feb,14:00,3.25,3.5,3.75
22/02/2013,Jan,14:00,3.75,3.75,4.0
28/01/2013,Jan,14:00,4.0,4.0,4.25
02/01/2013,Nov,14:00,4.25,4.5,4.5
26/11/2012,Oct,14:00,4.5,4.75,4.75
26/10/2012,Sep,14:00,4.75,4.75,4.75
28/09/2012,Aug,14:00,4.75,4.75,4.75
24/08/2012,Jul,14:00,4.75,4.75,5.0
27/07/2012,Jun,14:00,5.0,5.25,5.25
29/06/2012,May,14:00,5.25,5.25,5.25
28/05/2012,Apr,14:00,5.25,5.25,5.25
30/04/2012,Mar,14:00,5.25,5.25,5.25
23/03/2012,Feb,14:00,5.25,5.25,5.25
24/02/2012,Jan,14:00,5.25,4.75,5.0
30/01/2012,Dec,14:00,5.0,4.75,4.75
16/12/2011,Nov,14:00,4.75,4.75,4.75
25/11/2011,Oct,14:00,4.75,4.75,4.5
28/10/2011,Sep,14:00,4.5,4.5,4.5
30/09/2011,Aug,14:00,4.5,4.5,4.5
19/08/2011,Jul,14:00,4.5,4.5,4.5
29/07/2011,Jun,14:00,4.5,4.25,4.25
17/06/2011,May,15:30,4.25,4.25,4.0
30/05/2011,Apr,14:00,4.0,4.0,3.75
29/04/2011,Mar,14:00,3.75,3.75,3.5
18/03/2011,Feb,14:00,3.5,3.5,3.25
25/02/2011,Jan,14:00,3.25,3.0,3.0
31/01/2011,Dec,14:00,3.0,3.0,3.0
17/12/2010,Nov,16:00,3.0,3.0,3.0
01/11/2010,Oct,04:00,3.0,,3.0
01/10/2010,Sep,04:00,3.0,,3.0
01/09/2010,Aug,04:00,3.0,,3.0
01/08/2010,Jul,04:00,3.0,,3.0
01/07/2010,Jun,04:00,3.0,,3.0
01/06/2010,May,04:00,3.0,,3.5
01/05/2010,Apr,04:00,3.5,,3.5
01/04/2010,Mar,04:00,3.5,,3.5
01/03/2010,Feb,04:00,3.5,,3.5
01/02/2010,Jan,04:00,3.5,,3.5
01/01/2010,Dec,04:00,3.5,,3.5
01/12/2009,Nov,04:00,3.5,,4.0
01/11/2009,Oct,04:00,4.0,,4.0
01/10/2009,Sep,04:00,4.0,,4.5
01/09/2009,Aug,04:00,4.5,,4.5
01/08/2009,Jul,04:00,4.5,,4.5
01/07/2009,Jun,04:00,4.5,,6.0
01/06/2009,May,04:00,6.0,,7.0
01/05/2009,Apr,04:00,7.0,,7.0
01/04/2009,Mar,04:00,7.0,,9.0
01/03/2009,Feb,04:00,9.0,,9.5
01/02/2009,Jan,04:00,9.5,,9.5
01/01/2009,Dec,04:00,9.5,,10.0
01/12/2008,Nov,04:00,10.0,,10.0
01/11/2008,Oct,04:00,10.0,,10.0
01/10/2008,Sep,04:00,10.0,,10.0
01/09/2008,Aug,04:00,10.0,,10.0
01/08/2008,Jul,04:00,10.0,,9.75
01/07/2008,Jun,04:00,9.75,,9.75
01/06/2008,May,04:00,9.75,,9.75
01/05/2008,Apr,04:00,9.75,,9.75
01/04/2008,Mar,04:00,9.75,,9.75
01/03/2008,Feb,04:00,9.75,,9.5
01/02/2008,Jan,04:00,9.5,,9.5
01/01/2008,Dec,04:00,9.5,,9.5
01/12/2007,Nov,04:00,9.5,,9.25
01/11/2007,Oct,04:00,9.25,,9.25
01/10/2007,Sep,04:00,9.25,,9.25
01/09/2007,Aug,04:00,9.25,,9.25
01/08/2007,Jul,04:00,9.25,,9.0
01/07/2007,Jun,04:00,9.0,,8.75
01/06/2007,May,04:00,8.75,,8.25
01/05/2007,Apr,04:00,8.25,,8.25
01/04/2007,Mar,04:00,8.25,,8.0
01/03/2007,Feb,04:00,8.0,,7.75
01/02/2007,Jan,04:00,7.75,,7.5
01/01/2007,Dec,04:00,7.5,,7.25
01/12/2006,Nov,04:00,7.25,,7.25
01/11/2006,Oct,04:00,7.25,,6.75
01/10/2006,Sep,04:00,6.75,,6.75
01/09/2006,Aug,04:00,6.75,,6.5
01/08/2006,Jul,04:00,6.5,,6.5
01/07/2006,Jun,04:00,6.5,,6.25
01/06/2006,May,04:00,6.25,,6.0
01/05/2006,Apr,04:00,6.0,,6.0
01/04/2006,Mar,04:00,6.0,,6.0
01/03/2006,Feb,04:00,6.0,,6.0
01/02/2006,Jan,04:00,6.0,,6.0
01/01/2006,Dec,04:00,6.0,,6.0
01/12/2005,Nov,04:00,6.0,,6.0
01/11/2005,Oct,04:00,6.0,,6.0
01/10/2005,Sep,04:00,6.0,,6.5
01/09/2005,Aug,04:00,6.5,,6.5
01/08/2005,Jul,04:00,6.5,,6.5
01/07/2005,Jun,04:00,6.5,,6.5
01/06/2005,May,04:00,6.5,,6.5
01/05/2005,Apr,04:00,6.5,,6.5
01/04/2005,Mar,04:00,6.5,,6.5
01/03/2005,Feb,04:00,6.5,,6.5
01/02/2005,Jan,04:00,6.5,,6.5
01/01/2005,Dec,04:00,6.5,,6.75
01/12/2004,Nov,04:00,6.75,,6.75
01/11/2004,Oct,04:00,6.75,,6.75
01/10/2004,Sep,04:00,6.75,,6.75
01/09/2004,Aug,04:00,6.75,,6.75
01/08/2004,Jul,04:00,6.75,,6.75
01/07/2004,Jun,04:00,6.75,,6.75
01/06/2004,May,04:00,6.75,,6.75
01/05/2004,Apr,04:00,6.75,,6.75
01/04/2004,Mar,04:00,6.75,,7.0
01/03/2004,Feb,04:00,7.0,,7.25
01/02/2004,Jan,04:00,7.25,,7.25
01/01/2004,Dec,04:00,7.25,,7.25
01/12/2003,Nov,04:00,7.25,,7.25
01/11/2003,Oct,04:00,7.25,,7.25
01/10/2003,Sep,04:00,7.25,,7.25
01/09/2003,Aug,04:00,7.25,,7.25
01/08/2003,Jul,04:00,7.25,,7.25
01/07/2003,Jun,04:00,7.25,,7.25
01/06/2003,May,04:00,7.25,,7.25
01/05/2003,Apr,04:00,7.25,,6.25
01/04/2003,Mar,04:00,6.25,,6.25
01/03/2003,Feb,04:00,6.25,,6.25
01/02/2003,Jan,04:00,6.25,,5.25
01/01/2003,Dec,04:00,5.25,,5.25
01/12/2002,Nov,04:00,5.25,,5.25
01/11/2002,Oct,04:00,5.25,,5.25
01/10/2002,Sep,04:00,5.25,,5.25
01/09/2002,Aug,04:00,5.25,,5.25
01/08/2002,Jul,04:00,5.25,,5.25
01/07/2002,Jun,04:00,5.25,,5.75
01/06/2002,May,04:00,5.75,,6.25
01/05/2002,Apr,04:00,6.25,,7.25
01/04/2002,Mar,04:00,7.25,,8.0
01/03/2002,Feb,04:00,8.0,,8.0
01/02/2002,Jan,04:00,8.0,,8.5
01/01/2002,Dec,04:00,8.5,,8.75
01/12/2001,Nov,04:00,8.75,,9.25
01/11/2001,Oct,04:00,9.25,,9.5
01/10/2001,Sep,04:00,9.5,,10.0
01/09/2001,Aug,04:00,10.0,,11.0
01/08/2001,Jul,04:00,11.0,,11.5
01/07/2001,Jun,04:00,11.5,,11.5
01/06/2001,May,04:00,11.5,,11.5
01/05/2001,Apr,04:00,11.5,,11.5
01/04/2001,Mar,04:00,11.5,,12.0
01/03/2001,Feb,04:00,12.0,,12.0
01/02/2001,Jan,04:00,12.0,,12.0
01/01/2001,Dec,04:00,12.0,,12.0
01/12/2000,Nov,04:00,12.0,,12.0
01/11/2000,Oct,04:00,12.0,,12.0
01/10/2000,Sep,04:00,12.0,,12.0
01/09/2000,Aug,04:00,12.0,,12.0
01/08/2000,Jul,04:00,12.0,,12.0
01/07/2000,Jun,04:00,12.0,,12.0
01/06/2000,May,04:00,12.0,,12.0
01/05/2000,Apr,04:00,12.0,,12.0
01/04/2000,Mar,04:00,12.0,,12.0
01/03/2000,Feb,04:00,12.0,,12.0
01/02/2000,Jan,04:00,12.0,,12.0
01/01/2000,Dec,04:00,12.0,,13.0
01/12/1999,Nov,04:00,13.0,,15.0
01/11/1999,Oct,04:00,15.0,,16.0
01/10/1999,Sep,04:00,16.0,,16.0
01/09/1999,Aug,04:00,16.0,,17.0
01/08/1999,Jul,04:00,17.0,,18.0
01/07/1999,Jun,04:00,18.0,,18.0
01/06/1999,May,04:00,18.0,,19.0
01/05/1999,Apr,04:00,19.0,,20.0
01/04/1999,Mar,04:00,20.0,,24.0
01/03/1999,Feb,04:00,24.0,,26.0
01/02/1999,Jan,04:00,26.0,,26.0
01/01/1999,Dec,04:00,26.0,,28.0
01/12/1998,Nov,04:00,28.0,,32.0
01/11/1998,Oct,04:00,32.0,,32.0
01/10/1998,Sep,04:00,32.0,,32.0
01/09/1998,Aug,04:00,32.0,,32.0
01/08/1998,Jul,04:00,32.0,,32.0
01/07/1998,Jun,04:00,32.0,,32.0
01/06/1998,May,04:00,32.0,,30.0
01/05/1998,Apr,04:00,30.0,,30.0
01/04/1998,Mar,04:00,30.0,,30.0
01/03/1998,Feb,04:00,30.0,,27.0
01/02/1998,Jan,04:00,27.0,,27.0
01/01/1998,Dec,04:00,27.0,,27.0
01/12/1997,Nov,04:00,27.0,,27.0
01/11/1997,Oct,04:00,27.0,,27.0
01/10/1997,Sep,04:00,27.0,,27.0
01/09/1997,Aug,04:00,27.0,,27.5
01/08/1997,Jul,04:00,27.5,,27.5
01/07/1997,Jun,04:00,27.5,,27.5
01/06/1997,May,04:00,27.5,,28.5
01/05/1997,Apr,04:00,28.5,,28.5
01/04/1997,Mar,04:00,28.5,,32.0
01/03/1997,Feb,04:00,32.0,,32.0
01/02/1997,Jan,04:00,32.0,,32.0
01/01/1997,Dec,04:00,32.0,,32.0
01/12/1996,Nov,04:00,32.0,,35.0
01/11/1996,Oct,04:00,35.0,,35.0
01/10/1996,Sep,04:00,35.0,,35.0
01/09/1996,Aug,04:00,35.0,,35.0
01/08/1996,Jul,04:00,35.0,,35.0
01/07/1996,Jun,04:00,35.0,,35.0
01/06/1996,May,04:00,35.0,,35.0
01/05/1996,Apr,04:00,35.0,,35.0
01/04/1996,Mar,04:00,35.0,,38.0
01/03/1996,Feb,04:00,38.0,,41.0
01/02/1996,Jan,04:00,41.0,,41.0
01/01/1996,Dec,04:00,41.0,,45.0
01/12/1995,Nov,04:00,45.0,,45.0
01/11/1995,Oct,04:00,45.0,,45.0
01/10/1995,Sep,04:00,45.0,,45.0
01/09/1995,Aug,04:00,45.0,,45.0
01/08/1995,Jul,04:00,45.0,,45.0
01/07/1995,Jun,04:00,45.0,,45.0
01/06/1995,May,04:00,45.0,,45.0
01/05/1995,Apr,04:00,45.0,,
